complete?	site name	ownership	phone number	url	latitude	longitude	restrooms	trails	picnic	camping	visitor center	cross-country skiing	boat ramp	restaurant	lodging	drinking water	fishing	hunting	entry fee	bicycling	bats	beavers	butterflies	elk	fish	frogs	loons	migration hotspot	otters	raptors	reptiles	sandhill cranes	shorebirds	songbirds	turkeys	waterbirds	waterfowl	wolves	barrier free
Y	Rainey Wildlife Area	Michigan Department of Natural Resources	906-452-6227		46.022376	-86.312465		X										X										X		X				X					
Y	Seney National Wildlife Refuge	United States Fish and Wildlife Service	906-586-9851	http://www.fws.gov/refuge/seney/	46.2880304	-85.9454574	X	X			X	X				X	X	X		X							X		X	X		X					X		
Y	Big Knob Forest Campground	Michigan Department of Natural Resources	906-293-5131	http://www.michigandnr.com/parksandtrails/details.aspx?id=687&type=SFCG	46.0389483	-85.5939376	X	X	X	X																	X			X						X	X		
Y	Cut River Bridge/Heath Michael Robinson Memorial Bridge Roadside Park	Michigan Department of Natural Resources	906-635-5281		46.0436773	-85.1231093	X	X	X							X		X										X						X					
Y	Tahquamenon Falls State Park	Michigan Department of Natural Resources	906-492-3415	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=428	46.6004169	-85.2238378	X	X	X	X		X	X			X	X	X	X								X		X	X				X			X		
Y	Whitefish Point Bird Observatory	Whitefish Point Bird Observatory	906-492-3596	http://www.wpbo.org/	46.752754	-84.979909	X	X	X		X					X											X	X		X			X	X			X		X
Y	Monocle Lake Interpretive Trail	United States Forest Service	906-428-5800	http://www.fs.usda.gov/recarea/hiawatha/recreation/recarea/?recid=13336&actid=50	46.4695269	-84.6375047	X	X	X	X			X			X	X	X				X								X							X		
Y	Munuscong Wildlife Management Area	Michigan Department of Natural Resources	906-293-5131	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Munuscong_SWMA_map.pdf	46.2131956	-84.2806338	X			X			X				X	X												X			X	X			X		
Y	Horseshoe Bay	United States Forest Service			45.932815	-84.75001	X	X	X	X						X	X	X																X		X	X		
Y	Laughing Whitefish Falls State Park	Michigan Department of Natural Resources	906-339-4461	http://www.michigandnr.com/parksandtrails/details.aspx?id=422&type=SPRK	46.381473	-87.077823		X	X								X	X	X																				
Y	Blind Sucker Pathway	Michigan Department of Natural Resources	906-293-3293	http://www.michigandnr.com/parksandtrails/Details.aspx?id=359&type=SFPW	46.670214	-85.761504		X											X																				
Y	Shelldrake Dam State Forest Campground	Michigan Department of Natural Resources	906-293-3293	http://www.michigandnr.com/parksandtrails/details.aspx?id=682&type=SFCG	46.712468	-85.064142	X						X			X	X		X																				
	Cartwright Farm																																						
	Nahma Marsh Trail	United States Forest Service	906-428-5800	http://www.fs.usda.gov/recarea/hiawatha/recreation/recarea/?recid=13337&actid=50	45.874228	-86.6862																																	
	Lobischer Creek																																						
	Imp Lake Campground	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/recarea/?recid=12333	46.218595	-89.071217																																	
	Lake Ottawa Recreation Area		906-932-1330	http://www.fs.usda.gov/recarea/ottawa/recarea/?recid=12305	46.07606	-88.765235																																	
	Red Pine Pit	United States Forest Service																																					
	US-2 Duck Ponds	United States Forest Service																																					
	Cooks Run Trail	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12314&actid=64																																			
	Two Hearted River				46.698012	-85.421638																																	
	Norway Lake Campground	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12319&actid=29	46.41583	-88.68157																																	
	Black Creek Flooding State Wildlife Management Area	Michigan Department of Natural Resources	906-293-5131	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Black_Creek_Flooding_SWMA_map.pdf	46.218017	-85.716509																																	
Y	Hog Island Point State Forest Campground	Michigan Department of Natural Resources	906-643-8620	http://www.michigandnr.com/parksandtrails/details.aspx?id=690&type=SFCG	46.081229	-85.306753	X	X		X			X			X	X		X																				
	Les Cheneaux Islands				45.995196	-84.362868																																	
Y	Mackinac Island State Park	Michigan Department of Natural Resources	906-847-3328	http://www.mackinacparks.com/parks-and-attractions/mackinac-island-state-park/	45.8487117	-84.6155931	X	X	X		X	X	X	X	X					X																			X
	McCormick Wilderness	United States Forest Service	906-932-1330	http://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5109821.pdf	46.734925	-87.97601																																	
	Johnson's Pond																																						
	Shakey Lakes	Michigan Department of Natural Resources	906-786-2354	"http://www.michigan.gov/dnr/0,4570,7-153-31154_31260-54030--,00.html"	45.402936	-87.827242																																	
	Norwich Plain Management Area	Michigan Department of Natural Resources	906-353-6651	http://www.midnr.com/FLW/MA-BRIEFS/Norwich_Plain_Management_Area.pdf	46.793479	-89.344309																																	
	Whitetail Deer Viewing Loop																																						
	Courtney Lake Campground	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/recarea/?recid=12325	46.755503	-88.941708																																	
	Mead Auto Tour																																						
Y	Ludington State Park	Michigan Department of Natural Resources	231-843-2423	http://www.michigandnr.com/parksandtrails/details.aspx?id=468&type=SPRK	44.0326103	-86.5052361	X	X	X	X	X	X	X			X	X	X	X		 															X	X		
Y	Hamlin Lake Marsh	United States Forest Service	800-821-6263	http://www.fs.usda.gov/recarea/hmnf/null/recarea/?recid=18858&actid=78	44.083192	-86.382116							X				X	X				X														X	X		
Y	Lake Bluff Audubon Center	Michigan Audubon Society	517-580-7364	http://www.michiganaudubon.org/our-conservation-impact/bird-sanctuaries/	44.291252	-86.309305	X	X			X					X							X							X					X		X		
	North Country Trail	United States Forest Service					X	X		X			X					X												X				X			X		
Y	Manistee River	Michigan Department of Natural Resources			44.28403	-85.861439		X					X				X	X							X				X	X					X		X		
Y	Carl T. Johnson Hunting and Fishing Center and Heritage Fisheries and Wildlife Nature Study Area	Michigan Department of Natural Resources	231-779-1321	"http://www.michigan.gov/dnr/0,4570,7-153-10369_46675_58936---,00.html"	44.240308	-85.454279	X	X	X	X	X	X	X				X	X	X			X									X					X	X		
Y	Brandybrook Semiprimitive Area	United States Forest Service			44.242205	-85.520301												X				X								X									
Y	Sleeping Bear Dunes National Lakeshore	National Park Service	231-326-4700	http://www.nps.gov/slbe/index.htm	44.8116007	-86.0562473	X	X	X	X	X	X	X			X	X	X		X									X	X				X	X		X		X
Y	Suttons Bay Marsh Boardwalk	Suttons Bay Village			44.976866	-85.649332	X	X	X		X		X			X									X			X								X	X		
Y	Sand Lakes Quiet Area	Michigan Department of Natural Resources	231-922-5280	http://www.michigandnr.com/parksandtrails/details.aspx?id=66&type=SFPW	44.723429	-85.373093		X		X		X					X	X		X					X										X				
Y	Skegemog Swamp Pathway	Michigan Department of Natural Resources	989-732-3541	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Skegemog_Lake_SWMA_map.pdf	44.811103	-85.283058	X	X										X												X	X			X		X			
Y	Grass River Natural Area	Antrim County	231-533-8314	http://www.grassriver.org/	44.913914	-85.219926	X	X			X	X															X		X	X							X		
Y	Jordan River Valley	Michigan Department of Natural Resources			45.045342	-84.93513	X	X	X	X							X	X				X									X					X	X		
Y	Wilderness State Park	Michigan Department of Natural Resources	231-436-5381	http://www.michigandnr.com/parksandtrails/details.aspx?id=509&type=SPRK	45.7462417	-84.896508	X	X	X	X						X	X	X	X								X			X									
Y	Historic Mill Creek Discovery Park	Michigan Department of Natural Resources	231-436-5563	http://www.michigandnr.com/parksandtrails/details.aspx?id=473&type=SPRK	45.7453669	-84.6729242	X	X	X		X					X			X			X																	X
Y	Cheboygan State Park	Michigan Department of Natural Resources	231-627-2811	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=441	45.6457251	-84.4027759	X	X	X	X		X	X			X	X	X	X																	X	X		
Y	Thompson's Harbor State Park	Michigan Department of Natural Resources	989-734-2543	http://www.michigandnr.com/parksandtrails/details.aspx?id=500&type=SPRK	45.3427416	-83.5885596		X									X	X	X											X									
Y	NettieBay Lodge	NettieBay Lodge	989-734-4688	http://www.nettiebay.com/	45.3019008	-83.9891438	X						X		X		X	X									X			X				X	X				
Y	Tomahawk Creek Flooding	Michigan Department of Natural Resources	231-625-2522	http://www.michigandnr.com/parksandtrails/details.aspx?id=629&type=SFCG	45.2189118	-84.1769828	X	X		X			X			X	X	X									X			X									
Y	Pigeon River Country Elk Range	Michigan Department of Natural Resources	989-983-4101	http://www.michigan.gov/documents/dnr/DNR_Elk_Brochure_401828_7.pdf	45.169379	-84.439346	X	X		X							X	X						X															
Y	Fletcher Pond and Floodwaters	multiple private ownerships			44.990813	-83.855036	X		X	X			X		X	X	X	X												X					X	X	X		
Y	Deward Tract	Michigan Department of Natural Resources	989-348-6371	http://www.michigan.gov/documents/dnr/DeWardMap_371319_7.pdf	44.8368606	-84.8332248		X									X	X													X			X	X				
Y	Hartwick Pines State Park	Michigan Department of Natural Resources	989-348-7068	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=453	44.740461	-84.6656048	X	X	X	X	X		X			X		X	X															X					X
Y	Fletcher Plains	Michigan Department of Natural Resources	989-348-6371		44.525397	-84.905861												X									X			X				X			X		
Y	Dead Stream Flooding State Wildlife Management Area	Michigan Department of Natural Resources	989-275-5151	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Dead_Stream_Flooding_SWMA_map.pdf	44.3785325	-84.8426523							X				X	X												X							X		
Y	Houghton Lake Flats - South Unit	Michigan Department of Natural Resources	989-422-6572	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Houghton_Lake_Flats_South_Flooding_SWMA_map.pdf	44.3631621	-84.7996012											X												X	X			X			X	X		
Y	Backus Creek State Game Area	Michigan Department of Natural Resources	989-275-5151	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Backus_Creek_SGA_map.pdf	44.3307278	-84.5820738		X					X				X	X				X					X			X									
Y	Marl Lake and South Higgins Lake State Park	Michigan Department of Natural Resources	989-821-6374	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=496	44.4248172	-84.6792821	X	X	X				X				X	X	X											X				X					
Y	Wakeley Lake Foot Travel Area	United States Forest Service	800-821-6263	http://www.fs.usda.gov/recarea/hmnf/recarea/?recid=18814	44.6336369	-84.5087653		X		X		X					X	X				X			X		X		X	X									
	Luzerne Boardwalk	United States Forest Service						X									X	X							X			X						X					
	Jack Pine Wildlife Viewing Tour				44.740526	-84.6644	X	X	X	X		X		X	X	X	X	X				X					X			X				X	X				X
Y	Au Sable River	United States Forest Service			44.67638	-84.292189	X	X	X	X	X	X	X			X	X	X							X					X					X				
Y	Rifle River Recreation Area	Michigan Department of Natural Resources	989-473-2258	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=489	44.4196516	-84.0221766	X	X		X		X	X			X	X	X	X	X																X	X		
Y	Tuttle Marsh Wildlife Area	United States Forest Service	800-821-6263	http://www.fs.usda.gov/recarea/hmnf/null/recarea/?recid=26211&actid=82	44.3619949	-83.4695124		X									X	X										X					X			X	X		
Y	Tawas Point State Park	Michigan Department of Natural Resources	989-362-5041	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=499	44.2599931	-83.4422914	X	X	X	X						X			X				X					X		X			X	X			X		
Y	Wigwam Bay State Wildlife Area	Michigan Department of Natural Resources	989-697-5101	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Wigwam_Bay_SWA_map.pdf	44.0003439	-83.7858239	X	X					X				X	X												X	X		X	X		X	X		
Y	Pinconning County Park		989-879-5050	http://www.baycounty-mi.gov/PinconningPark/	43.853171	-83.924476	X	X	X	X		X	X				X		X															X		X	X		
Y	Sturgeon Point State Park	Michigan Department of Natural Resources	989-727-4703	http://www.michigandnr.com/parksandtrails/details.aspx?id=498&type=SPRK	44.711085	-83.272704		X						X					X																				
Y	Negwegon State Park	Michigan Department of Natural Resources	989-724-5126	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=476	44.849322	-83.345972	X	X		X								X	X																				
	Platte River State Fish Hatchery	Michigan Department of Natural Resources	231-325-4611	"http://www.michigan.gov/dnr/0,4570,7-153-10364_52259_28277-22491--,00.html"	44.662006	-85.935413																																	
	East Jordan Sportsman's Park	City of East Jordan	231-536-3381	http://www.eastjordancity.org/departments/sportsmans-park.html	45.15261	-85.131998																																	
	Beaver Island																																						
	Muskegon River				43.435546	-85.666706																																	
	Camp Grayling																																						
	Conners Marsh State Wildlife Management Area	Michigan Department of Natural Resources	989-275-5151	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Conners_Marsh_Flooding_SWMA_map.pdf	44.680647	-84.428014																																	
	Boardman River Boardwalks				44.764523	-85.615257																																	
	Rollways Campground	United States Forest Service	800-821-6263	http://www.fs.usda.gov/recarea/hmnf/recreation/recarea/?recid=18998	44.457681	-83.772483																																	
	Lumberman's Monument Visitor Center	United States Forest Service	989-362-8961	http://www.fs.usda.gov/recarea/hmnf/recarea/?recid=18538	44.434513	-83.624022																																	
	Olga Lake				44.159147	-85.564775																																	
	Linke's Pond																																						
Y	Tippy Dam Recreation Area	Michigan Department of Natural Resources	231-848-4880	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=696	44.261538	-85.940559	X	X		X		X	X				X		X																				
	Suicide Bend Fishing Site	United States Forest Service	231-723-2211	http://www.fs.usda.gov/wps/portal/fsinternet/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gDfxMDT8MwRydLA1cj72BTJw8jAwjQL8h2VAQAzHJMsQ!!/?ss=110904&ttype=recarea&recid=18602&actid=43&navtype=BROWSEBYSUBJECT&position=BROWSEBYSUBJECT&navid=110190000000000&pnavid=110000000000000&pname=Manistee+River+-+Suicide+Bend+Fishing+Site	44.269194	-85.942748																																	
	River Park Trail																																						
Y	Avery Lake State Forest Campground	Michigan Department of Natural Resources	989-785-4388	http://www.michigandnr.com/parksandtrails/details.aspx?id=635&type=SFCG	44.932201	-84.186529		X		X			X			X	X		X																				
Y	Ocqueoc Falls State Forest Campground	Michigan Department of Natural Resources	989-734-2543	http://www.michigandnr.com/parksandtrails/details.aspx?id=627&type=SFCG	45.395676	-84.055268		X		X		X				X	X		X	X																			X
	The Lighthouses at Presque Isle	Presque Isle Township Museum Society	989-595-9917	http://www.presqueislelighthouses.org/home.html	45.354976	-83.490709																																	
	Manistee River Trail	United States Forest Service	231-723-2211	http://www.fs.usda.gov/recarea/hmnf//recarea/?recid=18710&actid=51																																			
Y	William Field Memorial Hart-Montague Trail State Park	Michigan Department of Natural Resources	231-869-2051	http://www.michigandnr.com/parksandtrails/details.aspx?id=452&type=SPRK	43.688983	-86.372871	X	X	X			X		X	X				X	X														X					X
Y	Haymarsh Lake State Game Area	Michigan Department of Natural Resources	231-465-4188	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Haymarsh_Lake_SGA_map.pdf	43.762777	-85.362873	X	X		X			X				X	X												X				X			X		
Y	Hardy Dam Rustic Nature Trail	Consumers Energy		https://www.consumersenergy.com/uploadedFiles/CEWEB/SHARED/HardyTrail.pdf	43.490807	-85.637013		X					X				X	X											X	X				X	X				
Y	Muskegon State Game Area	Michigan Department of Natural Resources	231-788-5055	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Muskegon_SGA_map.pdf	43.292369	-86.056768		X									X	X																			X		
Y	Muskegon State Park	Michigan Department of Natural Resources	231-744-3480	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=475	43.250903	-86.332291	X	X	X	X			X			X	X	X	X											X			X				X		
Y	P.J. Hoffmaster State Park	Michigan Department of Natural Resources	231-798-3711	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=457	43.133106	-86.266438	X	X	X	X	X					X	X		X									X						X					X
Y	Harbor Island	City of Grand Haven	616-847-3493		43.075335	-86.225412	X	X	X				X							X													X	X		X	X		X
Y	Kitchel-Lindquist-Hartger Dunes Preserve	City of Ferrysburg	616-842-5803		43.061755	-86.245507		X																				X		X	X			X		X			
Y	Blandford Nature Center	Blandford Nature Center	616-735-6240	http://blandfordnaturecenter.org/	42.994989	-85.738651	X	X	X		X					X														X									X
Y	Fish Ladder Park	City of Grand Rapids	616-456-3696	http://www.friendsofgrparks.org/parks/find-a-park/fish-ladder-park/	42.974653	-85.676893	X																		X														X
Y	Pickerel Lake	Kent County Parks	616-632-7275	https://www.accesskent.com/Parks/Directory/pickerel.htm	43.072052	-85.465131	X	X	X		X	X				X	X					X												X		X	X		X
Y	De Graaf Nature Center	City of Holland	616-355-1057	http://www.cityofholland.com/degraafnaturecenter	42.774627	-86.137196	X	X			X					X																		X					X
Y	Allegan State Game Area	Michigan Department of Natural Resources	269-673-2430	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Allegan_SGA_map.pdf	42.549724	-85.99484	X	X		X		X				X	X	X										X		X							X		
Y	Kal-Haven Trail State Park	Michigan Department of Natural Resources	269-674-8011	http://www.michigandnr.com/parksandtrails/Details.aspx?id=463&type=SPRK	42.326651	-85.667747	X	X				X								X														X					X
Y	Sarett Nature Center	Sarett Nature Center	269-927-4832	http://www.sarett.com/	42.155587	-86.37889	X	X			X					X																		X					X
Y	Berrien Springs Fish Ladder	Michigan Department of Natural Resources	269-685-6851	"http://www.michigan.gov/dnr/0,4570,7-153-10364_52259_19092-46294--,00.html"	41.943331	-86.332338																			X														
Y	Fernwood Botanical Garden and Nature Preserve	Fernwood Botanical Garden and Nature Preserve	269-695-6491	http://www.fernwoodbotanical.org/	41.865361	-86.346165	X	X			X					X			X												X			X					X
Y	West Lake Nature Preserve	City of Portage	269-329-4522	http://www.portagemi.gov/Departments/PRSCS/ParksRecreation/ParksAmenitiesListing/WestLakeNaturePreserve.aspx	42.184062	-85.587961	X	X	X							X																							X
Y	Wolf Lake State Fish Hatchery Visitor Center	Michigan Department of Natural Resources	269-668-2876	"http://www.michigan.gov/dnr/0,1607,7-153-10369_46675_57592---,00.html"	42.292704	-85.784316	X				X					X									X														X
Y	Kalamazoo Nature Center	Kalamazoo Nature Center	269-381-1574	http://naturecenter.org/	42.363515	-85.590094	X	X	X		X	X				X			X				X								X			X					X
Y	Yankee Springs State Recreation Area	Michigan Department of Natural Resources	269-795-9081	http://www.michigandnr.com/parksandtrails/details.aspx?id=511&type=SPRK	42.619753	-85.513917	X	X	X	X		X	X			X	X	X	X																X	X	X		
Y	Barry State Game Area	Michigan Department of Natural Resources	269-795-3280	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Barry_SGA_map.pdf	42.625654	-85.446816																						X				X		X	X				
Y	Kellogg Bird Sanctuary	Michigan State University	269-671-2510	http://www.kbs.msu.edu/visit/birdsanctuary	42.391604	-85.382941	X	X	X		X					X			X																		X		X
Y	Binder Park Zoo	"Binder Park Zoological Society, Inc."	269-979-1351	http://www.binderparkzoo.org/	42.246407	-85.15624	X	X	X		X					X			X												X			X		X	X		X
Y	Whitehouse Nature Center	Albion College	517-629-0582	http://www.albion.edu/about-albion/whitehouse-nature-center	42.242712	-84.737828	X	X			X					X									X					X				X		X	X		X
Y	Dahlem Environmental Education Center	Jackson Community College	517-782-3453	http://www.dahlemcenter.org/	42.162474	-84.427651	X	X			X	X				X																		X					
Y	Lost Nation State Game Area	Michigan Department of Natural Resources	517-522-4097	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Lost_Nation_SGA_map.pdf	41.863896	-84.513869		X	X	X								X																	X				X
Y	Woldumar Nature Center	Nature Way Association	517-322-0030	http://www.woldumar.org/	42.691447	-84.63316	X	X			X	X				X			X															X			X		
Y	Maple River State Game Area	Michigan Department of Natural Resources	517-641-4903	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Maple_River_SGA_map.pdf	43.146848	-84.562986		X					X				X	X												X						X	X		X
Y	Rose Lake Wildlife Area	Michigan Department of Natural Resources	517-641-4903	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Rose_Lake_SGA_map.pdf	42.798897	-84.393419		X				X						X		X												X				X			
Y	Dansville State Game Area	Michigan Department of Natural Resources	517-641-4903	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Dansville_SGA_map.pdf	42.509812	-84.311806		X									X	X																X	X	X	X		
Y	Waterloo Recreation Area	Michigan Department of Natural Resources	734-475-8307	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=506	42.333304	-84.105995	X	X	X	X		X	X			X	X	X	X	X								X				X							
Y	Haehnle Audubon Sanctuary	Michigan Audubon Society	517-580-7364	http://www.michiganaudubon.org/our-conservation-impact/bird-sanctuaries/	42.321193	-84.289031																						X				X				X			
Y	Bird Hills Park	Ann Arbor Department of Parks and Recreation	734-794-6230	http://www.a2gov.org/departments/Parks-Recreation/parks-places/Pages/BirdHills.aspx	42.300289	-83.765942		X																										X					
Y	Pointe Mouillee State Game Area	Michigan Department of Natural Resources	734-379-9692	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Pointe_Mouillee_SGA_all-area_map.pdf	42.039981	-83.199606	X						X				X	X										X		X			X			X	X		
Y	Lake Erie Metropark	Huron-Clinton Metroparks	734-379-5020	http://www.metroparks.com/Lake-Erie-Metropark	42.070534	-83.210849	X	X	X		X	X	X			X	X		X	X								X		X							X		X
Y	Lake Saint Clair Metropark	Huron-Clinton Metroparks	586-463-4581	http://www.metroparks.com/Lake-St.-Clair-Metropark	42.581896	-82.809623	X	X	X		X	X	X			X	X		X	X			X				X	X						X		X	X		X
Y	Seven Ponds Nature Center	Seven Ponds Nature Center	810-796-3200	http://www.sevenponds.org/	42.929797	-83.188823	X	X	X		X	X				X			X			X												X					
Y	Lloyd A. Stage Nature Center	City of Troy	248-688-9703	http://troynaturesociety.org/index.php/en/	42.616766	-83.189412	X	X	X		X					X									X			X			X			X		X			X
Y	West Bloomfield Woods Nature Preserve	West Bloomfield Parks and Recreation Commission	248-451-1900	http://www.westbloomfieldparks.org/west-bloomfield-woods-nature-preserve.html	42.568037	-83.393663		X				X								X																X			X
